0,1,2,6,7,3,5,8,4
139,Mohammed,Ferguson,157.78,163.46,M,39,Black or African American,mohammedferguson5@gmail.com
140,Morgan,Estes,182.69,177.79,M,21,Prefer not to say,morganestes4@gmail.com
141,Ron,Hansen,175.16,171.05,M,27,Native Hawaiian or Other Pacific Islander,ronhansen1@gmail.com
142,Norbert,Myers,168.51,90.63,M,59,White,norbertmyers1@gmail.com
143,Aron,Adkins,173.99,180.2,M,44,American Indian or Alaska Native,aronadkins5@gmail.com
144,Emilio,Contreras,178.03,148.44,M,36,Native Hawaiian or Other Pacific Islander,emiliocontreras6@gmail.com
145,Shirley,Jones,166.1,108.22,M,58,White,shirleyjones2@gmail.com
146,Olen,Huerta,175.3,106.52,M,23,American Indian or Alaska Native,olenhuerta6@gmail.com
147,Ramon,Pugh,167.99,90.24,M,59,Black or African American,ramonpugh2@gmail.com
148,Werner,Hanna,158.85,158.46,M,53,American Indian or Alaska Native,wernerhanna8@gmail.com
149,Britt,Stanley,170.92,143.23,M,29,Native Hawaiian or Other Pacific Islander,brittstanley1@gmail.com
150,Herman,Russell,155.2,95.4,M,34,Black or African American,hermanrussell8@gmail.com
151,Sam,Thomas,177.74,153.39,M,25,White,samthomas1@gmail.com
152,Mitchel,Ho,155.74,140.63,M,50,White,mitchelho5@gmail.com
153,Jamal,Pierce,152.7,181.26,M,39,White,jamalpierce8@gmail.com
154,Galen,Branch,177.45,136.65,M,21,Native Hawaiian or Other Pacific Islander,galenbranch1@gmail.com
155,Edmund,Brooks,175.84,177.62,M,36,Black or African American,edmundbrooks3@gmail.com
156,Marlin,Sexton,179.58,114.4,M,23,Black or African American,marlinsexton5@gmail.com
157,Rene,Hurley,161.11,186.06,M,39,American Indian or Alaska Native,renehurley2@gmail.com
158,Deshawn,Kramer,166.34,93.68,M,58,Prefer not to say,deshawnkramer2@gmail.com
159,Roland,Everett,174.44,157.69,M,46,American Indian or Alaska Native,rolandeverett4@gmail.com
160,Barton,Weeks,158.46,178.96,M,31,American Indian or Alaska Native,bartonweeks1@gmail.com
161,Basil,Atkinson,166.4,147.11,M,35,White,basilatkinson4@gmail.com
162,Irwin,Woodward,176.82,107.29,M,47,Prefer not to say,irwinwoodward6@gmail.com
163,Hank,Hess,180.47,127.77,M,51,Native Hawaiian or Other Pacific Islander,hankhess4@gmail.com
164,Gerardo,Hardy,177.23,103.23,M,49,Black or African American,gerardohardy7@gmail.com
165,Heriberto,Walter,171.71,135.36,M,45,Asian,heribertowalter7@gmail.com
166,Tod,Patrick,160.32,105.19,M,35,White,todpatrick9@gmail.com
167,Jean,Kerr,173.47,91.57,M,30,Native Hawaiian or Other Pacific Islander,jeankerr3@gmail.com
168,Emerson,Alvarado,169.96,108.71,M,35,Prefer not to say,emersonalvarado3@gmail.com
169,Faustino,Chambers,156.56,170.41,M,21,Prefer not to say,faustinochambers9@gmail.com
170,Hugh,Wu,172.02,127.04,M,44,White,hughwu6@gmail.com
171,Laverne,Randolph,159.99,157.79,M,43,Prefer not to say,lavernerandolph5@gmail.com
172,Derick,Hernandez,154.29,104.17,M,38,American Indian or Alaska Native,derickhernandez9@gmail.com
173,Ralph,Walters,162.03,198.33,M,43,Native Hawaiian or Other Pacific Islander,ralphwalters3@gmail.com
174,Myron,Galloway,152.56,149.48,M,40,Prefer not to say,myrongalloway7@gmail.com
175,William,Coleman,172.64,168.86,M,45,Native Hawaiian or Other Pacific Islander,williamcoleman8@gmail.com
176,Minh,Andersen,180.69,127.2,M,52,American Indian or Alaska Native,minhandersen3@gmail.com
177,Julio,Mcdaniel,166.13,104.53,M,29,White,juliomcdaniel1@gmail.com
178,Luis,Singleton,172.48,95.62,M,29,Prefer not to say,luissingleton2@gmail.com
179,Jackie,Fischer,182.55,152.83,M,20,Asian,jackiefischer2@gmail.com
180,Ross,Browning,181.92,188.18,M,41,American Indian or Alaska Native,rossbrowning1@gmail.com
181,Wilbur,Brock,164.41,98.59,M,24,Prefer not to say,wilburbrock8@gmail.com
182,Paul,Herring,161.87,111.45,M,44,Native Hawaiian or Other Pacific Islander,paulherring8@gmail.com
183,Alec,Phelps,157.47,114.84,M,26,White,alecphelps5@gmail.com
184,Alfonso,Cervantes,159.73,103.53,M,40,White,alfonsocervantes6@gmail.com
185,Herschel,Powell,177.02,196.18,M,54,Prefer not to say,herschelpowell6@gmail.com
186,Mack,Klein,165.88,108.24,M,56,Black or African American,mackklein7@gmail.com
187,Zack,Hooper,158.81,146.7,M,53,Asian,zackhooper3@gmail.com
188,Florencio,Burton,173.63,147.03,M,43,Asian,florencioburton2@gmail.com
189,Lance,Kaufman,167.12,198.38,M,50,Asian,lancekaufman4@gmail.com
190,Sid,Frazier,174.93,110.26,M,56,White,sidfrazier1@gmail.com
191,Bennie,Castro,152.9,143.92,M,34,Black or African American,benniecastro8@gmail.com
192,Anderson,Bullock,163.29,162.56,M,44,Native Hawaiian or Other Pacific Islander,andersonbullock3@gmail.com
193,Francisco,Macdonald,179.99,151.5,M,25,American Indian or Alaska Native,franciscomacdonald3@gmail.com
194,Chris,Guerra,174.05,166.93,M,36,Native Hawaiian or Other Pacific Islander,chrisguerra2@gmail.com
195,Gilberto,Arnold,177.45,125.6,M,23,Prefer not to say,gilbertoarnold5@gmail.com
196,Renato,Hamilton,172.73,172.45,M,56,Asian,renatohamilton4@gmail.com
197,Anibal,Dunn,154.94,123.45,M,30,Prefer not to say,anibaldunn6@gmail.com
198,Merrill,Bell,179.67,176.81,M,34,Black or African American,merrillbell9@gmail.com
199,Bradley,Compton,165.55,148.61,M,36,White,bradleycompton8@gmail.com
200,Buford,Washington,180.3,100.86,M,22,Native Hawaiian or Other Pacific Islander,bufordwashington5@gmail.com
201,Gary,Stephens,158.45,94.61,M,53,White,garystephens3@gmail.com
202,Shelton,Cisneros,165.43,146.12,M,30,Prefer not to say,sheltoncisneros9@gmail.com
203,Nicky,Hall,162.32,166.77,M,58,Native Hawaiian or Other Pacific Islander,nickyhall4@gmail.com
204,Emerson,Gomez,180.27,102.97,M,49,American Indian or Alaska Native,emersongomez8@gmail.com
205,Darrell,Durham,163.08,156.47,M,33,American Indian or Alaska Native,darrelldurham4@gmail.com
206,Kurtis,Frey,165,128.66,M,29,Native Hawaiian or Other Pacific Islander,kurtisfrey7@gmail.com
207,Emile,Mata,157.67,129.73,M,57,Prefer not to say,emilemata3@gmail.com
208,Angel,Massey,163.5,172.83,M,53,Native Hawaiian or Other Pacific Islander,angelmassey9@gmail.com
209,Carey,Yu,174.08,142.75,M,52,Prefer not to say,careyyu9@gmail.com
210,Solomon,Day,152.64,99.45,M,24,Asian,solomonday3@gmail.com
211,Rayford,Lindsey,159,100.21,M,40,Black or African American,rayfordlindsey6@gmail.com
212,Kyle,Goodwin,180.44,145.76,M,56,Prefer not to say,kylegoodwin8@gmail.com
213,Ed,Arroyo,170.07,170.9,M,52,Prefer not to say,edarroyo3@gmail.com
214,Hoyt,Rodriguez,181.81,151.92,M,48,Asian,hoytrodriguez3@gmail.com
215,Al,Holmes,170.15,186.56,M,50,Black or African American,alholmes9@gmail.com
216,Parker,Garner,163.8,142.68,M,32,Asian,parkergarner4@gmail.com
217,Abram,Ramirez,173.19,138.39,M,59,Native Hawaiian or Other Pacific Islander,abramramirez6@gmail.com
218,Logan,Dalton,173.18,108.53,M,41,White,logandalton7@gmail.com
219,Norbert,Chung,166.22,191.21,M,20,Black or African American,norbertchung4@gmail.com
220,Jim,Gillespie,172.59,161.9,M,50,White,jimgillespie3@gmail.com
221,Jon,Meyers,171.32,120.42,M,53,Asian,jonmeyers5@gmail.com
222,Yong,Kelley,171.27,112.34,M,56,Asian,yongkelley6@gmail.com
223,Millard,Bean,163.1,95.35,M,45,White,millardbean9@gmail.com
224,Isaias,Buchanan,181.09,136.22,M,55,Asian,isaiasbuchanan5@gmail.com
225,Roman,Ortega,156.24,141.47,M,42,White,romanortega2@gmail.com
226,Cody,Floyd,177.52,113.8,M,60,Black or African American,codyfloyd3@gmail.com
227,Elmo,Baldwin,178.68,198.37,M,37,Prefer not to say,elmobaldwin4@gmail.com
228,Ulysses,Hines,154.76,155.67,M,22,Black or African American,ulysseshines6@gmail.com
229,Shad,Fry,170.11,142.97,M,42,American Indian or Alaska Native,shadfry2@gmail.com
230,Ollie,Bowers,167.64,157.65,M,22,Prefer not to say,olliebowers2@gmail.com
231,Norris,Gibson,169.13,118.18,M,31,American Indian or Alaska Native,norrisgibson4@gmail.com
232,Rodrick,Gentry,159.49,176.38,M,51,Black or African American,rodrickgentry6@gmail.com
233,Dennis,Morales,157.22,125.66,M,52,Asian,dennismorales6@gmail.com
234,Jordan,Stanton,157.62,121.38,M,24,White,jordanstanton5@gmail.com
235,Willis,Bartlett,171.1,111.6,M,58,Native Hawaiian or Other Pacific Islander,willisbartlett5@gmail.com
236,Grant,Hester,176.49,172.15,M,56,White,granthester5@gmail.com
237,Freddie,Wright,166.04,160.88,M,25,Asian,freddiewright8@gmail.com
238,Ross,Rios,160.31,180.33,M,33,Black or African American,rossrios4@gmail.com
239,Val,Cummings,165.01,182.57,M,29,Native Hawaiian or Other Pacific Islander,valcummings1@gmail.com
240,Ahmad,Nicholson,182.48,135.13,M,27,Asian,ahmadnicholson5@gmail.com
241,Leslie,Oconnell,166.41,93.07,M,48,White,leslieoconnell4@gmail.com
242,Raul,Davis,174.76,157.77,M,51,Prefer not to say,rauldavis1@gmail.com
243,Terrance,Hoover,172.31,155.14,M,45,Black or African American,terrancehoover8@gmail.com
244,Dillon,Ball,163.47,114.67,M,28,Asian,dillonball4@gmail.com
245,Rich,Townsend,166.23,159.81,M,29,Black or African American,richtownsend2@gmail.com
246,Cedrick,Montgomery,154.01,127.32,M,48,Prefer not to say,cedrickmontgomery3@gmail.com
247,Wyatt,Ali,182.06,187.35,M,48,Prefer not to say,wyattali7@gmail.com
248,Buford,Santos,154.55,96.53,M,41,Native Hawaiian or Other Pacific Islander,bufordsantos6@gmail.com
249,Eldridge,Pearson,173.86,129.48,M,46,Native Hawaiian or Other Pacific Islander,eldridgepearson3@gmail.com
250,Wilfredo,Warren,159.05,198.89,M,31,American Indian or Alaska Native,wilfredowarren4@gmail.com
251,Rickey,Cowan,166.28,175.09,M,42,Prefer not to say,rickeycowan6@gmail.com
252,Clair,Richmond,165.25,126.69,M,40,White,clairrichmond3@gmail.com
253,Joan,Larsen,153.88,95.25,M,20,Asian,joanlarsen8@gmail.com
254,Horace,Little,156.24,96.7,M,59,Prefer not to say,horacelittle9@gmail.com
255,Ian,Carr,160.87,171.35,M,41,Black or African American,iancarr6@gmail.com
256,Franklin,Patton,165.22,181.37,M,32,Prefer not to say,franklinpatton1@gmail.com
257,Wesley,Massey,178.37,150.57,M,56,Prefer not to say,wesleymassey7@gmail.com
258,Armando,Lozano,155.92,105.01,M,52,Native Hawaiian or Other Pacific Islander,armandolozano5@gmail.com
259,Troy,Salas,160.31,161.03,M,31,Asian,troysalas1@gmail.com
260,Travis,Gallagher,168.39,137.46,M,26,Native Hawaiian or Other Pacific Islander,travisgallagher5@gmail.com
261,Elijah,Rocha,161.88,170.48,M,33,White,elijahrocha1@gmail.com
262,Giuseppe,Robbins,167.97,102.32,M,41,American Indian or Alaska Native,giusepperobbins4@gmail.com
263,Len,Brennan,174.33,142.07,M,27,White,lenbrennan4@gmail.com
264,Dewey,Best,160.99,146.29,M,57,White,deweybest8@gmail.com
265,Darius,Foster,178.52,180.33,M,23,Prefer not to say,dariusfoster6@gmail.com
266,Lindsay,Case,169.03,186.25,M,55,Asian,lindsaycase7@gmail.com
267,Emmanuel,Bryant,182.53,110.24,M,57,Native Hawaiian or Other Pacific Islander,emmanuelbryant2@gmail.com
268,Cameron,Johnson,158.73,163.84,M,35,American Indian or Alaska Native,cameronjohnson6@gmail.com
269,Hai,Cummings,179.31,98.94,M,43,Native Hawaiian or Other Pacific Islander,haicummings8@gmail.com
270,Young,Moses,164.88,113.32,M,52,Prefer not to say,youngmoses4@gmail.com
271,Kelly,Mcdaniel,158.14,120.62,M,37,Prefer not to say,kellymcdaniel6@gmail.com
272,Patricia,Harrell,172.36,112.89,M,53,White,patriciaharrell5@gmail.com
273,Jefferson,Calderon,154.32,170.11,M,48,White,jeffersoncalderon9@gmail.com
274,Gregorio,Gibbs,161.52,150.23,M,54,White,gregoriogibbs4@gmail.com
275,Freeman,Shannon,163.66,140.32,M,56,American Indian or Alaska Native,freemanshannon1@gmail.com
276,Tyree,Holder,163.63,167.65,M,21,Black or African American,tyreeholder3@gmail.com
277,Weldon,Benson,161.08,114.02,M,47,Black or African American,weldonbenson2@gmail.com
278,Al,Ball,161.11,191.04,M,55,Native Hawaiian or Other Pacific Islander,alball6@gmail.com
279,Henry,Mason,172.86,166.85,M,48,Black or African American,henrymason3@gmail.com
280,Kurtis,Bradley,176.14,153.81,M,21,Asian,kurtisbradley2@gmail.com
281,Coleman,Shelton,156.57,90.21,M,47,American Indian or Alaska Native,colemanshelton8@gmail.com
282,Alberto,Benjamin,160.62,138.87,M,22,Asian,albertobenjamin2@gmail.com
283,Phillip,Shaw,175.77,108.72,M,27,Native Hawaiian or Other Pacific Islander,phillipshaw1@gmail.com
284,Guillermo,Tucker,173.71,137.28,M,32,Black or African American,guillermotucker9@gmail.com
285,Erick,Walters,180,144.76,M,21,White,erickwalters3@gmail.com
286,Scot,Hayes,169.66,176.54,M,52,White,scothayes1@gmail.com
287,Elden,Roberson,181.61,148.99,M,27,Asian,eldenroberson6@gmail.com
288,Javier,Adams,160.04,166.65,M,35,American Indian or Alaska Native,javieradams4@gmail.com
289,Chadwick,Knight,160.29,138.12,M,44,Prefer not to say,chadwickknight4@gmail.com
290,Denis,Hendrix,167.22,177.51,M,32,Asian,denishendrix9@gmail.com
291,Freddy,Garrison,181.56,123.83,M,44,Native Hawaiian or Other Pacific Islander,freddygarrison5@gmail.com
292,Elmer,Hogan,162.71,104.91,M,34,American Indian or Alaska Native,elmerhogan6@gmail.com
293,James,Banks,182.24,111.57,M,59,American Indian or Alaska Native,jamesbanks7@gmail.com
294,Margarito,Snow,152.51,153.86,M,28,American Indian or Alaska Native,margaritosnow5@gmail.com
295,Tobias,Melendez,173.82,128.76,M,45,Native Hawaiian or Other Pacific Islander,tobiasmelendez6@gmail.com
296,Otis,Baird,158.34,194.05,M,59,Prefer not to say,otisbaird1@gmail.com
297,Matt,Chen,173.24,111.87,M,45,Asian,mattchen5@gmail.com
298,Earle,Miller,160.66,191.65,M,39,Native Hawaiian or Other Pacific Islander,earlemiller9@gmail.com
299,Hosea,Vance,168.07,160.48,M,56,American Indian or Alaska Native,hoseavance6@gmail.com
300,Bryce,Duncan,165.1,179.61,M,37,Prefer not to say,bryceduncan4@gmail.com
301,Theo,Jones,170.26,181.73,M,58,American Indian or Alaska Native,theojones3@gmail.com
302,Bruno,Davis,169.13,112.53,M,46,Black or African American,brunodavis3@gmail.com
